IND	SRC_TYPE	TARGET	CL_ID	FILE_ACCESSION	CL_NAME
1	DHS	-	EFO:0005713	ENCFF533SUL	8988T
2	DHS	-	EFO:0002101	ENCFF693MBQ	A172
3	DHS	-	EFO:0001086	ENCFF302JWZ	A549
4	DHS	-	EFO:0002106	ENCFF355NVJ	A673
5	DHS	-	EFO:0002108	ENCFF777XHM	ACHN
6	DHS	-	CLO:0034837	ENCFF932HWH	AG04449
7	DHS	-	EFO:0006270	ENCFF816RDX	AG04450
8	DHS	-	CLO:0033911	ENCFF991GOM	AG08395
9	DHS	-	CLO:0033902	ENCFF378HOL	AG08396
10	DHS	-	CLO:0021752	ENCFF150ZKE	AG09309
11	DHS	-	CLO:0021754	ENCFF913LOH	AG09319
12	DHS	-	CLO:0021511	ENCFF472VYR	AG10803
13	DHS	-	CLO:0011092	ENCFF833DLW	AG20443
14	DHS	-	UBERON:0001954	ENCFF102QMS	Ammon's horn
15	DHS	-	CL:0000236	ENCFF963BED	B cell
16	DHS	-	EFO:0005725	ENCFF744XSP	BE2C
17	DHS	-	EFO:0002779	ENCFF812QOW	BJ
18	DHS	-	EFO:0009495	ENCFF197UWV	C803
19	DHS	-	CL:0001054	ENCFF229GYW	CD14-positive monocyte
20	DHS	-	CL:0002399	ENCFF459MDW	CD1c-positive myeloid dendritic cell
21	DHS	-	CL:0000792	ENCFF825KFE	CD4-positive, CD25-positive, alpha-beta regulatory T cell
22	DHS	-	CL:0000624	ENCFF139OOE	CD4-positive, alpha-beta T cell
23	DHS	-	CL:0000897	ENCFF810SEM	CD4-positive, alpha-beta memory T cell
24	DHS	-	CL:0000625	ENCFF772TLO	CD8-positive, alpha-beta T cell
25	DHS	-	CL:0000909	ENCFF041GGN	CD8-positive, alpha-beta memory T cell
26	DHS	-	EFO:0003037	ENCFF247KXY	CMK
27	DHS	-	EFO:0002140	ENCFF199VFY	COLO829
28	DHS	-	EFO:0009501	ENCFF540VPT	CWRU1
29	DHS	-	EFO:0001099	ENCFF579UXQ	Caco-2
30	DHS	-	EFO:0002150	ENCFF719YJR	Caki2
31	DHS	-	EFO:0002819	ENCFF930GWQ	Calu3
32	DHS	-	EFO:0002157	ENCFF677CTE	D341Med
33	DHS	-	EFO:0005696	ENCFF722JSP	D721Med
34	DHS	-	EFO:0007074	ENCFF777LKL	DND-41
35	DHS	-	EFO:0005698	ENCFF261RUO	Daoy
36	DHS	-	EFO:0007748	ENCFF628EXC	EH
37	DHS	-	EFO:0007749	ENCFF650WLM	EL
38	DHS	-	EFO:0005901	ENCFF212CJT	ELF-1
39	DHS	-	EFO:0007750	ENCFF127SQZ	ELR
40	DHS	-	EFO:0002179	ENCFF309YIK	G401
41	DHS	-	CLO:0016536	ENCFF292OFY	GM03348
42	DHS	-	CLO:0018813	ENCFF847MLV	GM04503
43	DHS	-	CLO:0018812	ENCFF041KUX	GM04504
44	DHS	-	EFO:0002783	ENCFF239QAE	GM06990
45	DHS	-	EFO:0005334	ENCFF238AOY	GM10248
46	DHS	-	EFO:0005335	ENCFF126AGH	GM10266
47	DHS	-	EFO:0005337	ENCFF953ESQ	GM12864
48	DHS	-	EFO:0005338	ENCFF754VPH	GM12865
49	DHS	-	EFO:0002784	ENCFF759OLD	GM12878
50	DHS	-	EFO:0002785	ENCFF087IIE	GM12891
51	DHS	-	EFO:0002786	ENCFF387DHT	GM12892
52	DHS	-	EFO:0005345	ENCFF535JRP	GM13976
53	DHS	-	EFO:0005346	ENCFF155GXQ	GM13977
54	DHS	-	EFO:0002787	ENCFF587IIJ	GM18507
55	DHS	-	EFO:0002788	ENCFF013CYL	GM19238
56	DHS	-	EFO:0002789	ENCFF801NEP	GM19239
57	DHS	-	EFO:0002790	ENCFF594FRC	GM19240
58	DHS	-	EFO:0005352	ENCFF431DCA	GM20000
59	DHS	-	EFO:0005723	ENCFF834PPH	GM23248
60	DHS	-	EFO:0007950	ENCFF358LIO	GM23338
61	DHS	-	EFO:0003042	ENCFF643ZJV	H1
62	DHS	-	EFO:0002184	ENCFF299PRU	H4
63	DHS	-	EFO:0002782	ENCFF224XHZ	H54
64	DHS	-	EFO:0005904	ENCFF114QGN	H7
65	DHS	-	EFO:0003045	ENCFF121PBD	H9
66	DHS	-	EFO:0007598	ENCFF061YKH	HAP-1
67	DHS	-	EFO:0009500	ENCFF458RQN	HCEC 1CT
68	DHS	-	EFO:0002824	ENCFF240LRP	HCT116
69	DHS	-	EFO:0001184	ENCFF285OXK	HEK293T
70	DHS	-	EFO:0005710	ENCFF030SHD	HFF-Myc
71	DHS	-	EFO:0009318	ENCFF462ILY	HFFc6
72	DHS	-	CLO:0003771	ENCFF129IYX	HK-2
73	DHS	-	EFO:0002793	ENCFF773SFA	HL-60
74	DHS	-	EFO:0005711	ENCFF062RTM	HPDE6-E6E7
75	DHS	-	EFO:0005283	ENCFF750EPD	HS-27A
76	DHS	-	EFO:0005282	ENCFF791TKP	HS-5
77	DHS	-	EFO:0001193	ENCFF094XEJ	HT-29
78	DHS	-	EFO:0002059	ENCFF385NWO	HT1080
79	DHS	-	EFO:0005709	ENCFF499NJC	HTR-8/SVneo
80	DHS	-	EFO:0002791	ENCFF049BHH	HeLa-S3
81	DHS	-	EFO:0001187	ENCFF897NME	HepG2
82	DHS	-	EFO:0005384	ENCFF920PDE	HuH-7
83	DHS	-	EFO:0005704	ENCFF628BKW	HuH-7.5
84	DHS	-	EFO:0001196	ENCFF800DVI	IMR-90
85	DHS	-	CLO:0007045	ENCFF340IYE	Jurkat, Clone E6-1
86	DHS	-	EFO:0002067	ENCFF926HBH	K562
87	DHS	-	EFO:0005903	ENCFF617TKD	KBM-7
88	DHS	-	EFO:0005719	ENCFF544BQL	Karpas-422
89	DHS	-	EFO:0007599	ENCFF710WFI	L1-S8
90	DHS	-	EFO:0007600	ENCFF783XJK	L1-S8R
91	DHS	-	EFO:0005714	ENCFF836HEK	LHCN-M2
92	DHS	-	EFO:0005726	ENCFF422MXW	LNCaP clone FGC
93	DHS	-	EFO:0006639	ENCFF067XYT	LoVo
94	DHS	-	EFO:0005697	ENCFF355POY	M059J
95	DHS	-	EFO:0001200	ENCFF978CPX	MCF 10A
96	DHS	-	EFO:0001203	ENCFF774JMS	MCF-7
97	DHS	-	EFO:0002234	ENCFF148ZHS	MG63
98	DHS	-	EFO:0005724	ENCFF148MKR	MM.1S
99	DHS	-	EFO:0002246	ENCFF718RMW	NAMALWA
100	DHS	-	EFO:0002798	ENCFF218WIP	NB4
101	DHS	-	EFO:0002285	ENCFF933CVK	NCI-H226
102	DHS	-	EFO:0003044	ENCFF777QZB	NCI-H460
103	DHS	-	EFO:0001221	ENCFF757IJO	NCI-H929
104	DHS	-	EFO:0005236	ENCFF630OPP	NT2/D1
105	DHS	-	EFO:0006711	ENCFF903CVK	OCI-LY7
106	DHS	-	EFO:0002074	ENCFF698OMW	PC-3
107	DHS	-	EFO:0002847	ENCFF424GSV	PC-9
108	DHS	-	EFO:0002713	ENCFF842AOT	Panc1
109	DHS	-	UBERON:0001211	ENCFF830VSE	Peyer's patch
110	DHS	-	EFO:0000681	ENCFF875AXC	RCC
111	DHS	-	EFO:0005707	ENCFF589UEE	RCC 7860
112	DHS	-	EFO:0001232	ENCFF778MLM	RKO
113	DHS	-	EFO:0005712	ENCFF270QRU	RPMI7951
114	DHS	-	EFO:0002322	ENCFF363TJP	RPMI8226
115	DHS	-	EFO:0002323	ENCFF383AGH	RWPE1
116	DHS	-	EFO:0007610	ENCFF939OBM	RWPE2
117	DHS	-	NTR:0000491	ENCFF616WCY	Right ventricle myocardium inferior
118	DHS	-	NTR:0000492	ENCFF741VGA	Right ventricle myocardium superior
119	DHS	-	EFO:0005722	ENCFF657ERO	SJCRH30
120	DHS	-	EFO:0002330	ENCFF319DRN	SJSA1
121	DHS	-	EFO:0005720	ENCFF659HYC	SK-MEL-5
122	DHS	-	EFO:0005721	ENCFF175FNW	SK-N-DZ
123	DHS	-	EFO:0002860	ENCFF054KLI	SK-N-MC
124	DHS	-	EFO:0003072	ENCFF752OZB	SK-N-SH
125	DHS	-	EFO:0002083	ENCFF489FBK	SW480
126	DHS	-	CL:0002038	ENCFF927RRR	T follicular helper cell
127	DHS	-	CL:0000084	ENCFF402BMP	T-cell
128	DHS	-	CL:0000545	ENCFF830KSX	T-helper 1 cell
129	DHS	-	CL:0000899	ENCFF047UUQ	T-helper 17 cell
130	DHS	-	CL:0000546	ENCFF769QHG	T-helper 2 cell
131	DHS	-	CL:0001042	ENCFF279UKO	T-helper 22 cell
132	DHS	-	CL:0002061	ENCFF036BCW	T-helper 9 cell
133	DHS	-	EFO:0001247	ENCFF529HAS	T47D
134	DHS	-	EFO:0005715	ENCFF271TYA	WERI-Rb-1
135	DHS	-	EFO:0001260	ENCFF161FTX	WI38
136	DHS	-	EFO:0009747	ENCFF854DSG	WTC11
137	DHS	-	NTR:0000506	ENCFF027ZYL	activated B cell
138	DHS	-	NTR:0004148	ENCFF275TRN	activated CD4-positive, CD25-positive, alpha-beta regulatory T cell
139	DHS	-	CL:0000896	ENCFF849QFO	activated CD4-positive, alpha-beta T cell
140	DHS	-	NTR:0000499	ENCFF067SGU	activated CD4-positive, alpha-beta memory T cell
141	DHS	-	CL:0000906	ENCFF596UGI	activated CD8-positive, alpha-beta T cell
142	DHS	-	NTR:0000504	ENCFF992PUZ	activated CD8-positive, alpha-beta memory T cell
143	DHS	-	NTR:0000537	ENCFF168GAN	activated T-cell
144	DHS	-	NTR:0000633	ENCFF253LML	activated T-helper 1 cell
145	DHS	-	NTR:0000634	ENCFF953XXF	activated T-helper 2 cell
146	DHS	-	NTR:0000670	ENCFF608HAY	activated T-helper 9 cell
147	DHS	-	NTR:0000660	ENCFF680JPD	activated effector memory CD4-positive, alpha-beta T cell
148	DHS	-	NTR:0000672	ENCFF459BJA	activated gamma-delta T cell
149	DHS	-	NTR:0000497	ENCFF092DWH	activated naive CD4-positive, alpha-beta T cell
150	DHS	-	NTR:0000502	ENCFF260PVK	activated naive CD8-positive, alpha-beta T cell
151	DHS	-	CL:0000136	ENCFF512CTB	adipocyte
152	DHS	-	UBERON:0002369	ENCFF071WCJ	adrenal gland
153	DHS	-	CL:0002536	ENCFF522WMG	amniotic epithelial cell
154	DHS	-	CL:0002639	ENCFF200FXW	amniotic stem cell
155	DHS	-	UBERON:0000947	ENCFF829CJM	aorta
156	DHS	-	UBERON:0001496	ENCFF011AIY	ascending aorta
157	DHS	-	CL:0000127	ENCFF503LDV	astrocyte
158	DHS	-	CL:0002603	ENCFF036TMU	astrocyte of the cerebellum
159	DHS	-	CL:0002604	ENCFF264SCL	astrocyte of the hippocampus
160	DHS	-	CL:0002606	ENCFF943TFW	astrocyte of the spinal cord
161	DHS	-	UBERON:0001150	ENCFF039OWV	body of pancreas
162	DHS	-	UBERON:0000955	ENCFF675XNL	brain
163	DHS	-	CL:2000044	ENCFF791XKF	brain microvascular endothelial cell
164	DHS	-	CL:2000043	ENCFF494ABI	brain pericyte
165	DHS	-	UBERON:0008367	ENCFF594NFE	breast epithelium
166	DHS	-	CL:0002328	ENCFF672FFN	bronchial epithelial cell
167	DHS	-	CL:0002548	ENCFF264ZIT	cardiac fibroblast
168	DHS	-	CL:0000746	ENCFF598TIL	cardiac muscle cell
169	DHS	-	UBERON:0002099	ENCFF825VZG	cardiac septum
170	DHS	-	UBERON:0001873	ENCFF466JXU	caudate nucleus
171	DHS	-	CL:0000904	ENCFF577WNP	central memory CD4-positive, alpha-beta T cell
172	DHS	-	CL:0000907	ENCFF839MRK	central memory CD8-positive, alpha-beta T cell
173	DHS	-	UBERON:0002129	ENCFF219JBP	cerebellar cortex
174	DHS	-	UBERON:0002037	ENCFF109NJY	cerebellum
175	DHS	-	CL:0000138	ENCFF429PXE	chondrocyte
176	DHS	-	UBERON:0003124	ENCFF517FIV	chorion
177	DHS	-	CL:0000706	ENCFF467ANF	choroid plexus epithelial cell
178	DHS	-	UBERON:0000317	ENCFF769AMF	colonic mucosa
179	DHS	-	CL:0001059	ENCFF667AVX	common myeloid progenitor, CD34-positive
180	DHS	-	UBERON:0001621	ENCFF141BDS	coronary artery
181	DHS	-	NTR:0005063	ENCFF070COX	dedifferentiated amniotic fluid mesenchymal stem cell
182	DHS	-	CL:2000010	ENCFF174OWC	dermis blood vessel endothelial cell
183	DHS	-	CL:2000041	ENCFF242PPW	dermis microvascular lymphatic vessel endothelial cell
